분반,수업,교수,구분,학년,시간,학점
04289-01,원가회계,강성조,전선1,2,금1~3(N311),3
05642-01,재무회계,신철,전선1,2,목4~6(N218),3
05642-02,재무회계,강소현,전선1,2,화2~4(K234),3
04654-01,전사적자원관리,오현진,전선1,3,"수8~9(M306), 금9(M306)",3
04291-01,조세법개론,신철,전선1,2,목7~9(D301),3
00911-01,중급회계2,이세용,전선1,2,"월8~9(M213), 수8(M213)",3
02134-01,회계정보시스템,손호철,전선1,4,목1~3(K239),3
06074-01,회계학캡스톤디자인2,김범준,전선1,4,"월4~5(B345), 금4(B345)",3
06611-01,회계학현장실습Ⅰ,,전선1,4,,3
06612-01,회계학현장실습Ⅱ,,전선1,4,,3
06613-01,회계학현장실습Ⅲ,,전선1,4,,3
06614-01,회계학현장실습Ⅳ,,전선1,4,,3
06615-01,회계학현장실습Ⅴ,,전선1,4,,3
06977-01,국제금융과개발도상국,설지인,전선1,3,월7~9(K256),3
06824-01,Global Consciousness through World Literature,박현주,중핵,전체,월4~6(N412),3
06818-01,Global Environmental Issues,김경우,중핵,1,금6~8(N311),3
06819-01,Global Health from Multidisciplinary Perspectives,김태응,중핵,1,금6~8(M213),3
06823-01,Navigating the International Business Environment,윤상미,중핵,전체,수7~9(N318),3
06249-01,캐릭터유니버스,위기훈,중핵,전체,금2~4(N319),3
05330-01,스토리텔링캡스톤디자인,위기훈,전선1,3,금6~8(),3
00525-02,시창2,,전기,1,화5(CH203),1
00527-02,시창4,,전기,2,화6(CH203),1
03454-02,건반화성및반주법2,손승혜,전선1,4,금5~7(CH103),3
07046-01,국어·사회교과교육론,박정식,전선1,2,월10~12(M413),3
